key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
global	GSE247339.1	whole cortex	scvi_rf	0.7407	0.0	100
global	GSE247339.1	whole cortex	seurat	0.6804	0.0	100
global	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.729	0.0	100
global	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.6431	0.0	100
global	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6618	0.0	100
global	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.7315	0.0	100
global	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.6909	0.0	100
global	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.7768	0.0	100
global	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.6523	0.0	100
global	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.6081	0.0	100
global	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.5209	0.0	100
global	GSE247339.2	whole cortex	scvi_knn	0.7139	0.0	100
global	GSE247339.2	whole cortex	scvi_rf	0.6918	0.0	100
global	GSE247339.2	whole cortex	seurat	0.5728	0.0	100
subclass	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.7372	0.0	100
subclass	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.7387	0.0	100
subclass	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9329	0.0	100
subclass	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.8771	0.0	100
subclass	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.86	0.0	100
subclass	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9188	0.0	100
subclass	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8683	0.0	100
subclass	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.7899	0.0	100
subclass	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9043	0.0	100
subclass	GSE124952	whole cortex	scvi_knn	0.6983	0.0	100
subclass	GSE124952	whole cortex	scvi_rf	0.6866	0.0	100
subclass	GSE124952	whole cortex	seurat	0.6086	0.0	100
subclass	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.6916	0.0	100
